Gene stable ID	Transcript stable ID	Transcript start (bp)	Transcript end (bp)	Transcription start site (TSS)	Transcript length (including UTRs and CDS)	Strand	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene % GC content	Gene name	Gene type
YDR390C	YDR390C_mRNA	1254937	1256847	1256847	1911	-1	1254937	1256847	IV	37.26	UBA2	protein_coding
tR(UCU)G1	tR(UCU)G1_tRNA	405470	405541	405470	72	1	405470	405541	VII	54.17		tRNA
YML002W	YML002W_mRNA	264541	266754	264541	2214	1	264541	266754	XIII	35.19		protein_coding
YBR085C-A	YBR085C-A_mRNA	418907	419164	419164	258	-1	418907	419164	II	41.09		protein_coding
YER158C	YER158C_mRNA	488857	490578	490578	1722	-1	488857	490578	V	43.03		protein_coding
YLR268W	YLR268W_mRNA	680200	680844	680200	645	1	680200	680844	XII	39.69	SEC22	protein_coding
YFL017C	YFL017C_mRNA	103983	104462	104462	480	-1	103983	104462	VI	42.08	GNA1	protein_coding
YGR143W	YGR143W_mRNA	775193	777508	775193	2316	1	775193	777508	VII	40.37	SKN1	protein_coding
YLR466C-A	YLR466C-A_mRNA	1070387	1070869	1070869	483	-1	1070387	1070869	XII	45.55		protein_coding
YHL022C	YHL022C_mRNA	62961	64157	64157	1197	-1	62961	64157	VIII	37.68	SPO11	protein_coding
YDL122W	YDL122W_mRNA	242552	244981	242552	2430	1	242552	244981	IV	37.24	UBP1	protein_coding
YHR165W-A	YHR165W-A_mRNA	436647	436958	436647	312	1	436647	436958	VIII	47.44		protein_coding
YCR106W	YCR106W_mRNA	310958	313456	310958	2499	1	310958	313456	III	36.93	RDS1	protein_coding
YBR020W	YBR020W_mRNA	279021	280607	279021	1587	1	279021	280607	II	41.46	GAL1	protein_coding
YMR108W	YMR108W_mRNA	484084	486147	484084	2064	1	484084	486147	XIII	43.56	ILV2	protein_coding
YDR420W	YDR420W_mRNA	1306267	1311675	1306267	5409	1	1306267	1311675	IV	42.54	HKR1	protein_coding
YNL053W	YNL053W_mRNA	529942	531411	529942	1470	1	529942	531411	XIV	42.04	MSG5	protein_coding
YKR106W	YKR106W_mRNA	661442	663289	661442	1848	1	661442	663289	XI	40.26	GEX2	protein_coding
YDR486C	YDR486C_mRNA	1427431	1428120	1428120	690	-1	1427431	1428120	IV	40.29	VPS60	protein_coding
YBR262C	YBR262C_mRNA	735720	736040	736040	321	-1	735720	736040	II	45.79		protein_coding
YGR221C	YGR221C_mRNA	937124	938992	938992	1869	-1	937124	938992	VII	40.02	TOS2	protein_coding
YJL144W	YJL144W_mRNA	146359	146673	146359	315	1	146359	146673	X	46.03		protein_coding
snR59	snR59_snoRNA	173827	173904	173827	78	1	173827	173904	XVI	37.18		snoRNA
YER068W	YER068W_mRNA	293050	294813	293050	1764	1	293050	294813	V	40.31	MOT2	protein_coding
YOR030W	YOR030W_mRNA	386825	388684	386825	1860	1	386825	388684	XV	35.65	DFG16	protein_coding
YBR233W	YBR233W_mRNA	683428	684669	683428	1242	1	683428	684669	II	41.47	PBP2	protein_coding
YBR195C	YBR195C_mRNA	610614	611882	611882	1269	-1	610614	611882	II	41.61	MSI1	protein_coding
YLR041W	YLR041W_mRNA	229377	229697	229377	321	1	229377	229697	XII	38.32		protein_coding
YLL012W	YLL012W_mRNA	125534	127255	125534	1722	1	125534	127255	XII	41.58	YEH1	protein_coding
YGL130W	YGL130W_mRNA	266145	267524	266145	1380	1	266145	267524	VII	40.07	CEG1	protein_coding
YDR323C	YDR323C_mRNA	1112480	1114027	1114027	1548	-1	1112480	1114027	IV	36.95	PEP7	protein_coding
YOR319W	YOR319W_mRNA	912822	913463	912822	642	1	912822	913463	XV	33.64	HSH49	protein_coding
YNL236W	YNL236W_mRNA	206930	209854	206930	2925	1	206930	209854	XIV	36.79	SIN4	protein_coding
YPL265W	YPL265W_mRNA	41043	42869	41043	1827	1	41043	42869	XVI	39.52	DIP5	protein_coding
YBR300C	YBR300C_mRNA	808600	809097	809097	498	-1	808600	809097	II	41.57		protein_coding
YGL042C	YGL042C_mRNA	418288	418593	418593	306	-1	418288	418593	VII	37.91		protein_coding
YCL047C	YCL047C_mRNA	43661	44437	44437	777	-1	43661	44437	III	39.12	POF1	protein_coding
YNR001W-A	YNR001W-A_mRNA	631263	631481	631263	219	1	631263	631481	XIV	40.64		protein_coding
YLR022C	YLR022C_mRNA	184174	184926	184926	753	-1	184174	184926	XII	37.58	SDO1	protein_coding
YIL177W-A	YIL177W-A_mRNA	846	1328	846	483	1	846	1328	IX	45.13		protein_coding
YMR035W	YMR035W_mRNA	341142	341675	341142	534	1	341142	341675	XIII	43.07	IMP2	protein_coding
YHR083W	YHR083W_mRNA	272627	273616	272627	990	1	272627	273616	VIII	43.54	SAM35	protein_coding
YGR090W	YGR090W_mRNA	662358	666071	662358	3714	1	662358	666071	VII	36.13	UTP22	protein_coding
YEL020C-B	YEL020C-B_mRNA	117183	117380	117380	198	-1	117183	117380	V	36.87		protein_coding
YLR382C	YLR382C_mRNA	882067	884751	884751	2685	-1	882067	884751	XII	39.78	NAM2	protein_coding
tK(UUU)L	tK(UUU)L_tRNA	875376	875471	875376	73	1	875376	875471	XII	50.00		tRNA
YNL327W	YNL327W_mRNA	24048	27173	24048	3126	1	24048	27173	XIV	40.85	EGT2	protein_coding
YLR273C	YLR273C_mRNA	689083	691029	691029	1947	-1	689083	691029	XII	36.06	PIG1	protein_coding
YML009W-B	YML009W-B_mRNA	250435	250911	250435	477	1	250435	250911	XIII	53.46		protein_coding
YLR172C	YLR172C_mRNA	501260	502162	502162	903	-1	501260	502162	XII	42.52	DPH5	protein_coding
YER119C	YER119C_mRNA	399496	400842	400842	1347	-1	399496	400842	V	46.25	AVT6	protein_coding
YOL077W-A	YOL077W-A_mRNA	185438	185644	185438	207	1	185438	185644	XV	39.61	ATP19	protein_coding
YPL080C	YPL080C_mRNA	406172	406498	406498	327	-1	406172	406498	XVI	42.20		protein_coding
YKR076W	YKR076W_mRNA	582283	583395	582283	1113	1	582283	583395	XI	41.51	ECM4	protein_coding
tR(ACG)L	tR(ACG)L_tRNA	374355	374427	374355	73	1	374355	374427	XII	58.90		tRNA
YDR242W	YDR242W_mRNA	946807	948456	946807	1650	1	946807	948456	IV	38.85	AMD2	protein_coding
YOR282W	YOR282W_mRNA	847000	847320	847000	321	1	847000	847320	XV	38.94		protein_coding
YCL058W-A	YCL058W-A_mRNA	23584	23925	23584	342	1	23584	23925	III	43.57	ADF1	protein_coding
YOL021C	YOL021C_mRNA	282421	285426	285426	3006	-1	282421	285426	XV	41.25	DIS3	protein_coding
YJL207C	YJL207C_mRNA	41389	47433	47433	6045	-1	41389	47433	X	34.81	LAA1	protein_coding
YNR018W	YNR018W_mRNA	664270	664944	664270	675	1	664270	664944	XIV	47.26	RCF2	protein_coding
YLR154W-F	YLR154W-F_mRNA	455883	456023	455883	141	1	455883	456023	XII	35.46		protein_coding
YPL148C	YPL148C_mRNA	272294	272815	272815	522	-1	272294	272815	XVI	38.12	PPT2	protein_coding
YIL023C	YIL023C_mRNA	309386	310426	310426	1041	-1	309386	310426	IX	47.36	YKE4	protein_coding
YGR121W-A	YGR121W-A_mRNA	733412	733627	733412	216	1	733412	733627	VII	37.96		protein_coding
YDR072C	YDR072C_mRNA	589761	591344	591344	1584	-1	589761	591344	IV	40.34	IPT1	protein_coding
YNL198C	YNL198C_mRNA	266514	266816	266816	303	-1	266514	266816	XIV	36.30		protein_coding
YER064C	YER064C_mRNA	282705	284222	284222	1518	-1	282705	284222	V	39.20	VHR2	protein_coding
YLR374C	YLR374C_mRNA	871453	871842	871842	390	-1	871453	871842	XII	46.92		protein_coding
YLR315W	YLR315W_mRNA	764808	765269	764808	462	1	764808	765269	XII	43.94	NKP2	protein_coding
YOL130W	YOL130W_mRNA	74400	76979	74400	2580	1	74400	76979	XV	41.78	ALR1	protein_coding
YGR206W	YGR206W_mRNA	910432	910737	910432	306	1	910432	910737	VII	38.24	MVB12	protein_coding
YMR175W	YMR175W_mRNA	611016	611255	611016	240	1	611016	611255	XIII	41.67	SIP18	protein_coding
YFL061W	YFL061W_mRNA	9545	10222	9545	678	1	9545	10222	VI	43.95	DDI2	protein_coding
YER147C	YER147C_mRNA	462968	464842	464842	1875	-1	462968	464842	V	46.19	SCC4	protein_coding
YKR028W	YKR028W_mRNA	494257	497358	494257	3102	1	494257	497358	XI	38.23	SAP190	protein_coding
YNL271C	YNL271C_mRNA	129522	135383	135383	5862	-1	129522	135383	XIV	39.18	BNI1	protein_coding
tT(AGU)N1	tT(AGU)N1_tRNA	104805	104877	104805	73	1	104805	104877	XIV	47.95		tRNA
YLR444C	YLR444C_mRNA	1023686	1023988	1023988	303	-1	1023686	1023988	XII	41.25		protein_coding
YBR072C-A	YBR072C-A_mRNA	382860	383021	383021	162	-1	382860	383021	II	38.89		protein_coding
YDR346C	YDR346C_mRNA	1167214	1168659	1168659	1446	-1	1167214	1168659	IV	39.42	SVF1	protein_coding
YMR270C	YMR270C_mRNA	805326	806423	806423	1098	-1	805326	806423	XIII	38.07	RRN9	protein_coding
YOL136C	YOL136C_mRNA	67561	68754	68754	1194	-1	67561	68754	XV	35.85	PFK27	protein_coding
YIL020C	YIL020C_mRNA	314035	314820	314820	786	-1	314035	314820	IX	39.06	HIS6	protein_coding
YOL083W	YOL083W_mRNA	165714	166952	165714	1239	1	165714	166952	XV	37.13	ATG34	protein_coding
YCR075W-A	YCR075W-A_mRNA	248975	249202	248975	228	1	248975	249202	III	42.54	EGO2	protein_coding
tM(CAU)J2	tM(CAU)J2_tRNA	422937	423009	422937	73	1	422937	423009	X	52.05	EMT3	tRNA
tA(AGC)M1	tA(AGC)M1_tRNA	321147	321219	321219	73	-1	321147	321219	XIII	64.38		tRNA
YNL070W	YNL070W_mRNA	493366	493548	493366	183	1	493366	493548	XIV	34.97	TOM7	protein_coding
tD(GUC)N	tD(GUC)N_tRNA	519099	519169	519169	71	-1	519099	519169	XIV	56.34		tRNA
Q0110	Q0110_mRNA	36540	38579	36540	1272	1	36540	38579	Mito	19.41	BI2	protein_coding
YFL037W	YFL037W_mRNA	56336	57709	56336	1374	1	56336	57709	VI	44.32	TUB2	protein_coding
YJR078W	YJR078W_mRNA	578860	580221	578860	1362	1	578860	580221	X	45.23	BNA2	protein_coding
YPL005W	YPL005W_mRNA	548486	550306	548486	1821	1	548486	550306	XVI	37.23	AEP3	protein_coding
YER085C	YER085C_mRNA	327619	328140	328140	522	-1	327619	328140	V	39.27		protein_coding
YJL059W	YJL059W_mRNA	324964	326190	324964	1227	1	324964	326190	X	38.30	YHC3	protein_coding
YDL091C	YDL091C_mRNA	293392	294759	294759	1368	-1	293392	294759	IV	37.50	UBX3	protein_coding
YGR068W-A	YGR068W-A_mRNA	626294	626389	626294	96	1	626294	626389	VII	45.83		protein_coding
tA(AGC)K2	tA(AGC)K2_tRNA	517988	518060	517988	73	1	517988	518060	XI	64.38		tRNA
YEL050W-A	YEL050W-A_mRNA	59549	59740	59549	192	1	59549	59740	V	34.90		protein_coding
YGL119W	YGL119W_mRNA	284442	285947	284442	1506	1	284442	285947	VII	38.11	COQ8	protein_coding
YOR040W	YOR040W_mRNA	407064	407921	407064	858	1	407064	407921	XV	41.61	GLO4	protein_coding
tL(UAA)B1	tL(UAA)B1_tRNA	9583	9666	9583	84	1	9583	9666	II	58.33		tRNA
YIL135C	YIL135C_mRNA	95065	96375	96375	1311	-1	95065	96375	IX	44.09	VHS2	protein_coding
YHR104W	YHR104W_mRNA	323409	324392	323409	984	1	323409	324392	VIII	40.45	GRE3	protein_coding
YJL143W	YJL143W_mRNA	147101	147577	147101	477	1	147101	147577	X	47.80	TIM17	protein_coding
YAL004W	YAL004W_mRNA	140760	141407	140760	648	1	140760	141407	I	44.91		protein_coding
YDL074C	YDL074C_mRNA	324047	326149	326149	2103	-1	324047	326149	IV	35.85	BRE1	protein_coding
YJR124C	YJR124C_mRNA	652892	654238	654238	1347	-1	652892	654238	X	39.12		protein_coding
YPL139C	YPL139C_mRNA	289669	291051	291051	1383	-1	289669	291051	XVI	37.53	UME1	protein_coding
YMR043W	YMR043W_mRNA	353871	354731	353871	861	1	353871	354731	XIII	46.57	MCM1	protein_coding
YLR174W	YLR174W_mRNA	504591	505829	504591	1239	1	504591	505829	XII	41.81	IDP2	protein_coding
YIR024C	YIR024C_mRNA	402841	403491	403491	651	-1	402841	403491	IX	36.10		protein_coding
YER065C	YER065C_mRNA	285241	286914	286914	1674	-1	285241	286914	V	44.03	ICL1	protein_coding
YEL029C	YEL029C_mRNA	96858	97796	97796	939	-1	96858	97796	V	37.70	BUD16	protein_coding
YCR102C	YCR102C_mRNA	304361	305467	305467	1107	-1	304361	305467	III	44.26		protein_coding
YKR009C	YKR009C_mRNA	454352	457054	457054	2703	-1	454352	457054	XI	40.95	FOX2	protein_coding
YJR059W	YJR059W_mRNA	545787	548243	545787	2457	1	545787	548243	X	41.76	PTK2	protein_coding
YOR110W	YOR110W_mRNA	528941	530248	528941	1308	1	528941	530248	XV	40.29	TFC7	protein_coding
YER151C	YER151C_mRNA	469686	472424	472424	2739	-1	469686	472424	V	39.83	UBP3	protein_coding
YIL093C	YIL093C_mRNA	187990	188784	188784	795	-1	187990	188784	IX	44.40	RSM25	protein_coding
YGL054C	YGL054C_mRNA	400871	401287	401287	417	-1	400871	401287	VII	35.01	ERV14	protein_coding
YHR213W-B	YHR213W-B_mRNA	540800	541099	540800	300	1	540800	541099	VIII	47.67		protein_coding
YML054C-A	YML054C-A_mRNA	167623	167781	167781	159	-1	167623	167781	XIII	45.28		protein_coding
YBL109W	YBL109W_mRNA	5790	6125	5790	336	1	5790	6125	II	46.13		protein_coding
YPL128C	YPL128C_mRNA	306533	308221	308221	1689	-1	306533	308221	XVI	42.51	TBF1	protein_coding
YER136W	YER136W_mRNA	439616	440971	439616	1356	1	439616	440971	V	37.83	GDI1	protein_coding
YDL211C	YDL211C_mRNA	79294	80412	80412	1119	-1	79294	80412	IV	39.95		protein_coding
YDR261C	YDR261C_mRNA	977521	979209	979209	1689	-1	977521	979209	IV	39.96	EXG2	protein_coding
YJL217W	YJL217W_mRNA	23133	23729	23133	597	1	23133	23729	X	42.88	REE1	protein_coding
YNL255C	YNL255C_mRNA	167329	167790	167790	462	-1	167329	167790	XIV	42.64	GIS2	protein_coding
YJR076C	YJR076C_mRNA	575354	576601	576601	1248	-1	575354	576601	X	39.82	CDC11	protein_coding
YGL044C	YGL044C_mRNA	416146	417036	417036	891	-1	416146	417036	VII	41.30	RNA15	protein_coding
YNL051W	YNL051W_mRNA	532659	533870	532659	1212	1	532659	533870	XIV	33.83	COG5	protein_coding
YNL148C	YNL148C_mRNA	349907	350671	350671	765	-1	349907	350671	XIV	49.93	ALF1	protein_coding
YLL019W-A	YLL019W-A_mRNA	106908	107000	106908	93	1	106908	107000	XII	46.24		protein_coding
YMR107W	YMR107W_mRNA	483014	483361	483014	348	1	483014	483361	XIII	42.53	SPG4	protein_coding
YNR075C-A	YNR075C-A_mRNA	781511	781603	781603	93	-1	781511	781603	XIV	48.39		protein_coding
YDL147W	YDL147W_mRNA	190924	192261	190924	1338	1	190924	192261	IV	35.87	RPN5	protein_coding
YDL081C	YDL081C_mRNA	309802	310122	310122	321	-1	309802	310122	IV	46.73	RPP1A	protein_coding
YOR294W	YOR294W_mRNA	868340	868951	868340	612	1	868340	868951	XV	41.18	RRS1	protein_coding
YLR258W	YLR258W_mRNA	660716	662833	660716	2118	1	660716	662833	XII	41.64	GSY2	protein_coding
YOR288C	YOR288C_mRNA	852121	853077	853077	957	-1	852121	853077	XV	37.51	MPD1	protein_coding
YDR283C	YDR283C_mRNA	1025070	1030049	1030049	4980	-1	1025070	1030049	IV	36.08	GCN2	protein_coding
YIL099W	YIL099W_mRNA	178004	179653	178004	1650	1	178004	179653	IX	47.03	SGA1	protein_coding
YBL104C	YBL104C_mRNA	18177	21293	21293	3117	-1	18177	21293	II	39.04	SEA4	protein_coding
YLR330W	YLR330W_mRNA	787664	789679	787664	2016	1	787664	789679	XII	41.67	CHS5	protein_coding
YLR244C	YLR244C_mRNA	625168	626331	626331	1164	-1	625168	626331	XII	40.64	MAP1	protein_coding
YHL034W-A	YHL034W-A_mRNA	33176	33637	33176	462	1	33176	33637	VIII	40.91		protein_coding
YDR340W	YDR340W_mRNA	1150881	1151183	1150881	303	1	1150881	1151183	IV	34.32		protein_coding
YIL020C-A	YIL020C-A_mRNA	313713	314051	314051	339	-1	313713	314051	IX	34.81		protein_coding
YGL229C	YGL229C_mRNA	64503	66959	66959	2457	-1	64503	66959	VII	36.02	SAP4	protein_coding
YMR316C-B	YMR316C-B_mRNA	907321	907629	907629	309	-1	907321	907629	XIII	43.69		protein_coding
YBR157C	YBR157C_mRNA	553543	554310	554310	768	-1	553543	554310	II	38.80	ICS2	protein_coding
YGR055W	YGR055W_mRNA	599417	601141	599417	1725	1	599417	601141	VII	40.17	MUP1	protein_coding
YLR299C-A	YLR299C-A_mRNA	727911	728003	728003	93	-1	727911	728003	XII	41.94		protein_coding
tV(CAC)D	tV(CAC)D_tRNA	1075472	1075544	1075544	73	-1	1075472	1075544	IV	53.42		tRNA
YDL108W	YDL108W_mRNA	267698	268699	267698	921	1	267698	268699	IV	39.02	KIN28	protein_coding
YGR072W	YGR072W_mRNA	634304	635467	634304	1164	1	634304	635467	VII	35.14	UPF3	protein_coding
YKL068W	YKL068W_mRNA	310199	313078	310199	2880	1	310199	313078	XI	40.66	NUP100	protein_coding
YDR313C	YDR313C_mRNA	1089219	1090079	1090079	861	-1	1089219	1090079	IV	41.46	PIB1	protein_coding
YPL271W	YPL271W_mRNA	30079	30267	30079	189	1	30079	30267	XVI	40.21	ATP15	protein_coding
YCR019W	YCR019W_mRNA	152837	153928	152837	1092	1	152837	153928	III	40.66	MAK32	protein_coding
YBL017C	YBL017C_mRNA	186844	191583	191583	4740	-1	186844	191583	II	38.97	PEP1	protein_coding
YDR496C	YDR496C_mRNA	1441433	1443403	1443403	1971	-1	1441433	1443403	IV	35.97	PUF6	protein_coding
YPL027W	YPL027W_mRNA	499665	500402	499665	738	1	499665	500402	XVI	38.89	SMA1	protein_coding
YMR279C	YMR279C_mRNA	824729	826351	826351	1623	-1	824729	826351	XIII	41.16		protein_coding
YJL222W-B	YJL222W-B_mRNA	9346	9483	9346	138	1	9346	9483	X	39.86		protein_coding
YCL007C	YCL007C_mRNA	106974	107366	107366	393	-1	106974	107366	III	38.17		protein_coding
YHR019C	YHR019C_mRNA	141894	143558	143558	1665	-1	141894	143558	VIII	44.38	DED81	protein_coding
YLL041C	YLL041C_mRNA	53131	53931	53931	801	-1	53131	53931	XII	42.20	SDH2	protein_coding
YCR033W	YCR033W_mRNA	186489	190169	186489	3681	1	186489	190169	III	39.58	SNT1	protein_coding
YAR002C-A	YAR002C-A_mRNA	154065	154724	154724	660	-1	154065	154724	I	39.55	ERP1	protein_coding
YNL085W	YNL085W_mRNA	467131	469623	467131	2493	1	467131	469623	XIV	36.38	MKT1	protein_coding
YBR289W	YBR289W_mRNA	779667	782384	779667	2718	1	779667	782384	II	42.38	SNF5	protein_coding
YPL076W	YPL076W_mRNA	410443	411285	410443	843	1	410443	411285	XVI	35.71	GPI2	protein_coding
YPL100W	YPL100W_mRNA	361872	363362	361872	1491	1	361872	363362	XVI	37.49	ATG21	protein_coding
YBR035C	YBR035C_mRNA	306269	306955	306955	687	-1	306269	306955	II	43.38	PDX3	protein_coding
YER079W	YER079W_mRNA	318920	319552	318920	633	1	318920	319552	V	39.81		protein_coding
YMR244W	YMR244W_mRNA	757250	758317	757250	1068	1	757250	758317	XIII	48.69		protein_coding
YCL005W-A	YCL005W-A_mRNA	107023	107417	107023	222	1	107023	107417	III	40.76	VMA9	protein_coding
YLR053C	YLR053C_mRNA	248100	248426	248426	327	-1	248100	248426	XII	37.00		protein_coding
YDR537C	YDR537C_mRNA	1510856	1511461	1511461	606	-1	1510856	1511461	IV	41.58		protein_coding
YIL019W	YIL019W_mRNA	315093	316133	315093	1041	1	315093	316133	IX	39.96	FAF1	protein_coding
YDL205C	YDL205C_mRNA	92762	93745	93745	984	-1	92762	93745	IV	41.57	HEM3	protein_coding
YML126C	YML126C_mRNA	19060	20535	20535	1476	-1	19060	20535	XIII	39.57	ERG13	protein_coding
YDL054C	YDL054C_mRNA	359825	361285	361285	1461	-1	359825	361285	IV	41.20	MCH1	protein_coding
YLR232W	YLR232W_mRNA	606830	607177	606830	348	1	606830	607177	XII	41.95		protein_coding
YLR086W	YLR086W_mRNA	302243	306499	302243	4257	1	302243	306499	XII	37.84	SMC4	protein_coding
YNL037C	YNL037C_mRNA	557920	559002	559002	1083	-1	557920	559002	XIV	43.49	IDH1	protein_coding
YHR202W	YHR202W_mRNA	502388	504196	502388	1809	1	502388	504196	VIII	39.47		protein_coding
YMR184W	YMR184W_mRNA	628189	628785	628189	597	1	628189	628785	XIII	39.87	ADD37	protein_coding
YFR046C	YFR046C_mRNA	243074	244159	244159	1086	-1	243074	244159	VI	40.24	CNN1	protein_coding
YGL067W	YGL067W_mRNA	376101	377255	376101	1155	1	376101	377255	VII	38.61	NPY1	protein_coding
tP(UGG)H	tP(UGG)H_tRNA	388893	388995	388995	72	-1	388893	388995	VIII	57.28	SUF8	tRNA
YLR298C	YLR298C_mRNA	724721	725416	725416	696	-1	724721	725416	XII	39.22	YHC1	protein_coding
YHL016C	YHL016C_mRNA	72037	74244	74244	2208	-1	72037	74244	VIII	40.40	DUR3	protein_coding
YDR531W	YDR531W_mRNA	1498232	1499335	1498232	1104	1	1498232	1499335	IV	37.59	CAB1	protein_coding
tG(GCC)D1	tG(GCC)D1_tRNA	83548	83618	83548	71	1	83548	83618	IV	57.75		tRNA
YER023W	YER023W_mRNA	201076	201936	201076	861	1	201076	201936	V	45.41	PRO3	protein_coding
YGR151C	YGR151C_mRNA	794655	794990	794990	336	-1	794655	794990	VII	36.31		protein_coding
YOL099C	YOL099C_mRNA	132017	132508	132508	492	-1	132017	132508	XV	34.96		protein_coding
YBR152W	YBR152W_mRNA	546376	547251	546376	876	1	546376	547251	II	39.38	SPP381	protein_coding
YDR226W	YDR226W_mRNA	916486	917154	916486	669	1	916486	917154	IV	43.80	ADK1	protein_coding
YGL034C	YGL034C_mRNA	433214	433579	433579	366	-1	433214	433579	VII	46.72		protein_coding
YPR011C	YPR011C_mRNA	583062	584042	584042	981	-1	583062	584042	XVI	42.81		protein_coding
tD(GUC)J2	tD(GUC)J2_tRNA	355456	355527	355456	72	1	355456	355527	X	56.94		tRNA
YLR283W	YLR283W_mRNA	705186	706130	705186	945	1	705186	706130	XII	36.83		protein_coding
YDL133C-A	YDL133C-A_mRNA	221724	221801	221801	78	-1	221724	221801	IV	41.03	RPL41B	protein_coding
YOR182C	YOR182C_mRNA	678191	678793	678793	192	-1	678191	678793	XV	33.17	RPS30B	protein_coding
YIL083C	YIL083C_mRNA	203556	204653	204653	1098	-1	203556	204653	IX	38.80	CAB2	protein_coding
YHR044C	YHR044C_mRNA	194068	194808	194808	741	-1	194068	194808	VIII	41.57	DOG1	protein_coding
YDR188W	YDR188W_mRNA	836421	838061	836421	1641	1	836421	838061	IV	48.02	CCT6	protein_coding
tS(UGA)Q2	tS(UGA)Q2_tRNA	48201	48290	48201	90	1	48201	48290	Mito	37.78		tRNA
YOR219C	YOR219C_mRNA	752214	755009	755009	2796	-1	752214	755009	XV	37.98	STE13	protein_coding
YGR292W	YGR292W_mRNA	1076599	1078353	1076599	1755	1	1076599	1078353	VII	40.40	MAL12	protein_coding
YHR140W	YHR140W_mRNA	380572	381291	380572	720	1	380572	381291	VIII	36.53		protein_coding
YHR072W-A	YHR072W-A_mRNA	241664	241840	241664	177	1	241664	241840	VIII	41.81	NOP10	protein_coding
YDL237W	YDL237W_mRNA	30657	31829	30657	1173	1	30657	31829	IV	38.70	AIM6	protein_coding
YDR524C	YDR524C_mRNA	1487542	1488990	1488990	1449	-1	1487542	1488990	IV	35.68	AGE1	protein_coding
YPR038W	YPR038W_mRNA	646836	647195	646836	360	1	646836	647195	XVI	45.00	IRC16	protein_coding
YLR238W	YLR238W_mRNA	614755	616191	614755	1437	1	614755	616191	XII	36.81	FAR10	protein_coding
YGR184C	YGR184C_mRNA	859901	865753	865753	5853	-1	859901	865753	VII	36.70	UBR1	protein_coding
YMR010W	YMR010W_mRNA	285100	286317	285100	1218	1	285100	286317	XIII	35.80	ANY1	protein_coding
YCR048W	YCR048W_mRNA	211929	213761	211929	1833	1	211929	213761	III	49.92	ARE1	protein_coding
YGR024C	YGR024C_mRNA	531883	532596	532596	714	-1	531883	532596	VII	34.87	THG1	protein_coding
YGL237C	YGL237C_mRNA	52731	53528	53528	798	-1	52731	53528	VII	44.74	HAP2	protein_coding
YPR045C	YPR045C_mRNA	655140	656552	656552	1413	-1	655140	656552	XVI	36.66	THP3	protein_coding
YPL033C	YPL033C_mRNA	487362	488207	488207	846	-1	487362	488207	XVI	33.81	SRL4	protein_coding
YER024W	YER024W_mRNA	202192	204963	202192	2772	1	202192	204963	V	41.09	YAT2	protein_coding
YHR210C	YHR210C_mRNA	520712	521737	521737	1026	-1	520712	521737	VIII	42.01		protein_coding
YKL092C	YKL092C_mRNA	266145	269459	269459	3315	-1	266145	269459	XI	34.45	BUD2	protein_coding
tV(AAC)G1	tV(AAC)G1_tRNA	412294	412367	412367	74	-1	412294	412367	VII	52.70		tRNA
YDR189W	YDR189W_mRNA	838392	840392	838392	2001	1	838392	840392	IV	38.63	SLY1	protein_coding
YJL047C-A	YJL047C-A_mRNA	349044	349178	349178	135	-1	349044	349178	X	37.04		protein_coding
YMR165C	YMR165C_mRNA	590040	592628	592628	2589	-1	590040	592628	XIII	40.98	PAH1	protein_coding
YGR062C	YGR062C_mRNA	616328	617278	617278	951	-1	616328	617278	VII	42.69	COX18	protein_coding
YGL161C	YGL161C_mRNA	199210	200142	200142	933	-1	199210	200142	VII	42.34	YIP5	protein_coding
YMR206W	YMR206W_mRNA	675896	676837	675896	942	1	675896	676837	XIII	44.69		protein_coding
YMR019W	YMR019W_mRNA	312156	315005	312156	2850	1	312156	315005	XIII	37.58	STB4	protein_coding
YCR073C	YCR073C_mRNA	242588	246583	246583	3996	-1	242588	246583	III	39.26	SSK22	protein_coding
tI(AAU)N2	tI(AAU)N2_tRNA	602312	602385	602312	74	1	602312	602385	XIV	58.11		tRNA
YBR127C	YBR127C_mRNA	491269	492822	492822	1554	-1	491269	492822	II	42.34	VMA2	protein_coding
YPR136C	YPR136C_mRNA	802325	802837	802837	513	-1	802325	802837	XVI	37.62		protein_coding
YGR076C	YGR076C_mRNA	637104	637577	637577	474	-1	637104	637577	VII	36.71	MRPL25	protein_coding
YOR232W	YOR232W_mRNA	774573	775259	774573	687	1	774573	775259	XV	38.14	MGE1	protein_coding
tT(AGU)J	tT(AGU)J_tRNA	59100	59172	59172	73	-1	59100	59172	X	47.95		tRNA
YML012C-A	YML012C-A_mRNA	245537	245914	245914	378	-1	245537	245914	XIII	45.24		protein_coding
YNL068C	YNL068C_mRNA	495701	498289	498289	2589	-1	495701	498289	XIV	40.75	FKH2	protein_coding
tA(AGC)H	tA(AGC)H_tRNA	146242	146314	146314	73	-1	146242	146314	VIII	64.38		tRNA
snR39	snR39_snoRNA	365163	365251	365251	89	-1	365163	365251	VII	34.83		snoRNA
YMR123W	YMR123W_mRNA	513593	513961	513593	369	1	513593	513961	XIII	42.55	PKR1	protein_coding
YJL100W	YJL100W_mRNA	237263	239086	237263	1824	1	237263	239086	X	43.80	LSB6	protein_coding
YOL061W	YOL061W_mRNA	212244	213734	212244	1491	1	212244	213734	XV	43.26	PRS5	protein_coding
